key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/arkhan_the_black_lords_heroes										
wh3_main_arkhan_the_black_1		stephen_skill_nagash_must_rise	wh2_dlc09_skill_node_set_tmb_arkhan		0.0	15.0		0	0	true
wh3_main_arkhan_the_black_unique_fragment_0		stephen_skill_arkhan_unique_vampires_advanced_1	wh2_dlc09_skill_node_set_tmb_arkhan		1.0	7.0		0	0	true
wh3_main_arkhan_the_black_unique_fragment_1		stephen_skill_arkhan_unique_vampires_advanced_2	wh2_dlc09_skill_node_set_tmb_arkhan		1.0	8.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_1		wh2_main_skill_all_hero_assist_army_replenish_troops	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	0.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_2		wh2_main_skill_all_hero_passive_spread_corruption_vmp	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	1.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_3		wh2_main_skill_all_hero_hinder_settlement_damage_building	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	2.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_4		wh2_main_skill_all_hero_hinder_agent_wound	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	3.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_5		wh2_main_skill_all_hero_hinder_army_hinder_replenishment	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	4.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_6		wh2_main_skill_all_hero_reduce_action_cost	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	5.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_7		wh2_dlc09_skill_tmb_campaign_4	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		5.0	6.0		0	0	true
steve_ark_tmb_liche_priest_vampire_campaign_actions_dummy		arkhan_skill_all_dummy_agent_actions_tmb_liche_priest_vampires	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		8.0	0.0		1	0	false
steve_ark_tmb_liche_priest_vampire_innate_1		wh2_main_skill_innate_all_disciplined	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	0.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_2		wh2_main_skill_innate_all_fleet_footed	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	1.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_3		wh2_main_skill_innate_vmp_dread_incarnate	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	10.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_4		wh2_main_skill_innate_vmp_master_of_the_black_arts	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	11.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_5		wh2_dlc09_skill_innate_tmb_wise	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	12.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_6		wh2_dlc09_skill_innate_tmb_wrathful	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	13.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_7		wh2_dlc09_skill_innate_tmb_eternal	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	14.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_8		wh2_dlc09_skill_innate_tmb_proficient_caster	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	15.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_9		wh2_dlc09_skill_innate_tmb_channeller	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	16.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_10		wh2_main_skill_innate_all_strong	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	2.0		0	0	false
steve_ark_tmb_liche_priest_vampire_innate_11		wh2_main_skill_innate_all_tough	sda_skill_node_set_steve_ark_tmb_liche_priest_vampire		6.0	3.0		0	0	false
